date,geography,geography code,Rural Urban,Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: All persons; Economic Activity: Economically active; measures: Value,Sex: All persons; Economic Activity: Economically active: In employment; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value,Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value,Sex: All persons; Economic Activity: Economically Inactive; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value,Sex: All persons; Economic Activity: Long-term unemployed; measures: Value,Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Males; Economic Activity: Economically active; measures: Value,Sex: Males; Economic Activity: Economically active: In employment; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Males; Economic Activity: Economically Inactive; measures: Value,Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Males; Economic Activity: Economically inactive: Other; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Males; Economic Activity: Long-term unemployed; measures: Value,Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Females; Economic Activity: Economically active; measures: Value,Sex: Females; Economic Activity: Economically active: In employment; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Females; Economic Activity: Economically Inactive; measures: Value,Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Females; Economic Activity: Economically inactive: Other; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Females; Economic Activity: Long-term unemployed; measures: Value,RowID
2011,Hastings,E07000062,Total,66036,44759,39256,9770,22094,7392,3621,1882,21277,9469,2699,3112,4370,1627,1052,684,519,1616,32581,23557,20469,2259,12854,5356,2290,798,9024,4109,1380,416,2396,723,654,444,331,1010,33455,21202,18787,7511,9240,2036,1331,1084,12253,5360,1319,2696,1974,904,398,240,188,606,239
2011,Lewes,E07000063,Total,69269,48194,44029,10626,23792,9611,2319,1846,21075,12184,2545,2676,2448,1222,674,549,252,878,33885,25247,23005,2296,14243,6466,1358,884,8638,5090,1308,257,1344,639,425,362,162,488,35384,22947,21024,8330,9549,3145,961,962,12437,7094,1237,2419,1104,583,249,187,90,390,240
2011,Rother,E07000064,Total,62861,39859,36504,8685,18498,9321,2019,1336,23002,14163,2386,2728,2551,1174,596,527,275,848,30363,21166,19369,1824,11061,6484,1199,598,9197,5883,1204,294,1332,484,383,324,183,488,32498,18693,17135,6861,7437,2837,820,738,13805,8280,1182,2434,1219,690,213,203,92,360,241
2011,Wealden,E07000065,Total,105879,74214,68798,15676,36449,16673,2670,2746,31665,19091,3617,4504,2827,1626,737,758,269,956,51460,39404,36630,2829,22457,11344,1543,1231,12056,7868,1832,272,1385,699,477,455,179,504,54419,34810,32168,12847,13992,5329,1127,1515,19609,11223,1785,4232,1442,927,260,303,90,452,242
2011,Basingstoke and Deane,E07000084,Total,123243,94800,87347,16506,59049,11792,3999,3454,28443,15461,3345,4920,2998,1719,1016,889,335,1459,61179,50452,46604,2894,35642,8068,2251,1597,10727,6534,1754,303,1436,700,627,565,201,722,62064,44348,40743,13612,23407,3724,1748,1857,17716,8927,1591,4617,1562,1019,389,324,134,737,243
2011,East Hampshire,E07000085,Total,83522,60953,56610,11975,33561,11074,2133,2210,22569,12787,3261,3551,1911,1059,603,558,209,764,40926,32431,30217,2049,20776,7392,1184,1030,8495,5315,1551,218,928,483,380,341,136,372,42596,28522,26393,9926,12785,3682,949,1180,14074,7472,1710,3333,983,576,223,217,73,392,244
2011,Eastleigh,E07000086,Total,91582,69033,63539,14551,40104,8884,2768,2726,22549,12922,2877,3260,2358,1132,775,668,310,1009,45033,36191,33313,2416,24558,6339,1630,1248,8842,5572,1417,211,1160,482,504,426,196,526,46549,32842,30226,12135,15546,2545,1138,1478,13707,7350,1460,3049,1198,650,271,242,114,483,245
2011,Fareham,E07000087,Total,81198,59063,54335,12324,34450,7561,2117,2611,22135,14078,2730,2594,1772,961,628,530,195,714,40006,31078,28564,1971,21366,5227,1212,1302,8928,6007,1434,183,877,427,402,349,117,369,41192,27985,25771,10353,13084,2334,905,1309,13207,8071,1296,2411,895,534,226,181,78,345,246
2011,Gosport,E07000088,Total,59499,42981,38861,8592,25813,4456,2520,1600,16518,8650,2157,2582,2141,988,803,477,323,927,29573,23047,20850,1538,16173,3139,1501,696,6526,3672,1070,251,1079,454,527,315,215,503,29926,19934,18011,7054,9640,1317,1019,904,9992,4978,1087,2331,1062,534,276,162,108,424,247
2011,Hart,E07000089,Total,66087,49875,46585,9156,29935,7494,1570,1720,16212,9425,2173,2905,891,818,385,414,120,549,32955,27000,25333,1526,18913,4894,858,809,5955,3934,1126,120,414,361,258,251,71,270,33132,22875,21252,7630,11022,2600,712,911,10257,5491,1047,2785,477,457,127,163,49,279,248
